"countryid","countryname"
"170","Venezuela"
"187","Kazakhstan"
"302","ASUR"
"68","Cape Verde"
"274","ATLANTIS CANADA"
"104","Montenegro"
"252","AVINOR"
"29","Norway"
"237","Myanmar"
"65","Senegal"
"241","Republic of Korea"
"21","Jersey"
"206","Vietnam"
"12","Tunisia"
"149","Northern Mariana Islands"
"276","AURORA AIR"
"244","AEROCENTER"
"137","Iran"
"251","ANTARES"
"298","Syrian Arab Republic"
"268","AIREX"
"98","Switzerland"
"263","AEROPUMA"
"156","Japan"
"87","Saint Pierre and Miquelon"
"234","Western Sahara"
"176","Guadeloupe"
"255","COMPANY AS"
"61","Sierra Leone"
"281","AQUILINE"
"142","Lebanon"
"300","Hong Kong SAR of China"
"197","Cambodia"
"235","Cocos (Keeling) Islands"
"294","Air S"
"4","Canada"
"70","Maldives"
"36","Swaziland"
"40","Mauritius"
"1","Papua New Guinea"
"92","Israel"
"227","Tuvalu"
"121","Cook Islands"
"191","Ukraine"
"293","Russian Federation"
"150","Guam"
"230","Montserrat"
"305","Russia]]"
"72","Somalia"
"280","AVEMEX"
"136","Saudi Arabia"
"80","Uganda"
"249","ALNACIONAL"
"107","Dominican Republic"
"112","Nicaragua"
"116","Haiti"
"41","British Indian Ocean Territory"
"286","AEROWEE"
"171","Guyana"
"190","Russia"
"100","Moldova"
"317","VELES"
"306","ALDAWLYH AIR"
"60","Spain"
"198","Bangladesh"
"228","Namibia"
"208","Malaysia"
"223","Georgia"
"231","Monaco"
"81","Albania"
"262","AEROPERLAS"
"73","Egypt"
"146","Iraq"
"101","Macedonia"
"157","South Korea"
"119","Bahamas"
"296","Republic of the Congo"
"133","Antarctica"
"27","Faroe Islands"
"173","Barbados"
"134","Afghanistan"
"162","Ecuador"
"66","Mauritania"
"75","Libya"
"224","Bermuda"
"261","ALASKA PACIFIC"
"163","Paraguay"
"229","Djibouti"
"179","Saint Kitts and Nevis"
"284","AIRNAT"
"25","Ireland"
"200","Laos"
"8","Ghana"
"158","Philippines"
"56","Malawi"
"145","Pakistan"
"271","AEROSUN"
"130","Vanuatu"
"275","AUDI AIR"
"159","Turkmenistan"
"9","Cote d'Ivoire"
"5","Algeria"
"226","Nauru"
"42","Cameroon"
"254","ASTORIA"
"84","Croatia"
"51","Sao Tome and Principe"
"35","Congo (Kinshasa)"
"54","Chad"
"115","El Salvador"
"309","Lao Peoples Democratic Republic"
"213","Norfolk Island"
"205","Indonesia"
"181","Aruba"
"282","ACTIVE AERO"
"169","Uruguay"
"28","Luxembourg"
"128","American Samoa"
"256","AIRPAC"
"53","Seychelles"
"135","Bahrain"
"126","Wallis and Futuna"
"199","Hong Kong"
"83","Cyprus"
"94","Austria"
"194","Uzbekistan"
"160","Brazil"
"97","Romania"
"13","Togo"
"58","Mali"
"17","Estonia"
"222","Yemen"
"250","Macao"
"20","Guernsey"
"143","United Arab Emirates"
"299","AIR-MAUR"
"243","Democratic Republic of the Congo"
"279","ALAMO"
"118","Cayman Islands"
"63","Liberia"
"15","Germany"
"6","Benin"
"313","ACOM"
"174","Dominica"
"69","Ethiopia"
"147","Syria"
"203","Bhutan"
"168","Peru"
"310","WATCHDOG"
"253","ALCON"
"178","Virgin Islands"
"304","UNIFORM OSCAR"
"267","ARMSTRONG"
"0","UNKNOWN"
"10","Nigeria"
"71","Burundi"
"195","India"
"270","SCHEFF"
"7","Burkina Faso"
"26","Denmark"
"79","Tanzania"
"295","Democratic People's Republic of Korea"
"59","Gambia"
"211","Singapore"
"90","Slovenia"
"204","Thailand"
"82","Bulgaria"
"177","Grenada"
"16","United States"
"120","Belize"
"192","Belarus"
"264","ATCO"
"233","Niue"
"64","Morocco"
"44","Comoros"
"172","Antigua and Barbuda"
"23","Falkland Islands"
"18","Finland"
"232","Johnston Atoll"
"48","Angola"
"292","ARIZAIR"
"125","Australia"
"311","UNited Kingdom"
"105","Slovakia"
"184","Trinidad and Tobago"
"103","Serbia"
"88","Hungary"
"91","Czech Republic"
"122","Fiji"
"216","Mongolia"
"182","Netherlands Antilles"
"167","French Guiana"
"290","ATLANTIC NICARAGUA"
"239","North Korea"
"287","AIR FREIGHTER"
"214","China"
"95","Portugal"
"11","Niger"
"113","Panama"
"86","France"
"114","Costa Rica"
"269","ALASKA"
"31","Sweden"
"185","British Virgin Islands"
"45","Mayotte"
"188","Kyrgyzstan"
"297","S"
"67","Guinea"
"37","Central African Republic"
"19","United Kingdom"
"277","AUSA"
"117","Cuba"
"189","Azerbaijan"
"308","LAP"
"110","Jamaica"
"161","Chile"
"212","Christmas Island"
"34","Congo (Brazzaville)"
"89","Italy"
"39","Saint Helena"
"314","Boonville Stage Line"
"57","Lesotho"
"55","Zimbabwe"
"315","SWISSBIRD"
"193","Tajikistan"
"219","Armenia"
"303","DRAGON"
"196","Sri Lanka"
"301","Democratic Republic of Congo"
"248","AIRPORT HELICOPTER"
"218","Lithuania"
"186","Saint Vincent and the Grenadines"
"85","Greece"
"175","Martinique"
"245","Somali Republic"
"207","Burma"
"240","Wake Island"
"129","French Polynesia"
"220","Eritrea"
"33","Botswana"
"260","APPALACHIAN"
"225","Solomon Islands"
"258","ASA PESADA"
"257","AIRFLIGHT"
"164","Colombia"
"99","Turkey"
"183","Anguilla"
"96","Bosnia and Herzegovina"
"24","Netherlands"
"259","AIR PRINT"
"49","Puerto Rico"
"111","Mexico"
"221","Palestine"
"138","Argentina"
"46","Reunion"
"132","New Zealand"
"78","South Sudan"
"238","Svalbard"
"30","Poland"
"273","AIR CLASS"
"312","Netherland"
"2","Greenland"
"141","Kuwait"
"43","Zambia"
"289","AIRMAN"
"74","Kenya"
"50","Gabon"
"148","Qatar"
"153","Micronesia"
"154","Palau"
"139","Jordan"
"127","Samoa"
"32","South Africa"
"52","Mozambique"
"109","Honduras"
"247","AEROCESAR"
"77","Sudan"
"288","RENTAXEL"
"283","AEROVARADERO"
"131","New Caledonia"
"210","East Timor"
"285","AIRWAVE"
"266","S.A."
"316","AEROSOL"
"201","Macau"
"38","Equatorial Guinea"
"144","Oman"
"102","Gibraltar"
"166","Suriname"
"140","West Bank"
"215","Korea"
"22","Isle of Man"
"108","Guatemala"
"272","ALL STAR"
"151","Marshall Islands"
"106","Turks and Caicos Islands"
"291","AZIMUT"
"62","Guinea-Bissau"
"47","Madagascar"
"155","Taiwan"
"265","AVIOQUINTANA"
"152","Midway Islands"
"209","Brunei"
"165","Bolivia"
"242","Ivory Coast"
"14","Belgium"
"123","Tonga"
"124","Kiribati"
"93","Malta"
"236","South Georgia and the Islands"
"76","Rwanda"
"246","Canadian Territories"
"202","Nepal"
"3","Iceland"
"278","AVIANCA"
"217","Latvia"
"180","Saint Lucia"
"307","ODINN"
